Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;DÁKITI;Bad Bunny;6868359;2020-12-01;;2020;12;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2;All I Want for Christmas Is You;Mariah Carey;4425670;2020-12-01;;2020;12;1;4;dance pop;urban contemporary;pop;r&b;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
3;positions;Ariana Grande;4223318;2020-12-01;;2020;12;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
4;LA NOCHE DE ANOCHE;Bad Bunny;3978823;2020-12-01;;2020;12;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
5;Last Christmas;Wham!;3739033;2020-12-01;;2020;12;1;7;new wave pop;new romantic;synthpop;new wave;disco;europop;soft rock;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
6;Mood (feat. iann dior);24kGoldn;3718937;2020-12-01;;2020;12;1;1;cali rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
7;Therefore I Am;Billie Eilish;3568666;2020-12-01;;2020;12;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8;Dynamite;BTS;3432918;2020-12-01;;2020;12;1;2;k-pop boy group;k-pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
9;BICHOTA;KAROL G;3269072;2020-12-01;;2020;12;1;4;reggaeton colombiano;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
10;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;3248900;2020-12-01;;2020;12;1;5;pop;canadian pop;viral pop;post-teen pop;dance pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
11;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;3178184;2020-12-01;;2020;12;1;3;trap;rap;pop rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
12;Santa Tell Me;Ariana Grande;3120232;2020-12-01;;2020;12;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13;Blinding Lights;The Weeknd;3079502;2020-12-01;;2020;12;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
14;34+35;Ariana Grande;2955896;2020-12-01;;2020;12;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
15;It's Beginning to Look a Lot like Christmas;Michael Bublé;2942957;2020-12-01;;2020;12;1;4;jazz pop;adult standards;canadian pop;lounge;;;;;;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
16;Life Goes On;BTS;2848088;2020-12-01;;2020;12;1;2;k-pop boy group;k-pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
17;Prisoner (feat. Dua Lipa);Miley Cyrus;2751427;2020-12-01;;2020;12;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
18;Rockin' Around The Christmas Tree;Brenda Lee;2708877;2020-12-01;;2020;12;1;6;adult standards;brill building pop;rockabilly;easy listening;lounge;vocal jazz;;;;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0
19;Jingle Bell Rock;Bobby Helms;2621387;2020-12-01;easy listening;2020;12;1;10;adult standards;brill building pop;deep adult standards;nashville sound;rockabilly;traditional country;honky tonk;rock-and-roll;classic country pop;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
20;TE MUDASTE;Bad Bunny;2600009;2020-12-01;;2020;12;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
21;Lonely (with benny blanco);Justin Bieber;2581489;2020-12-01;;2020;12;1;3;canadian pop;post-teen pop;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
22;What You Know Bout Love;Pop Smoke;2548308;2020-12-01;;2020;12;1;1;brooklyn drill;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
23;It's the Most Wonderful Time of the Year;Andy Williams;2354181;2020-12-01;;2020;12;1;6;adult standards;lounge;easy listening;brill building pop;vocal jazz;mellow gold;;;;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0
24;YO VISTO ASÍ;Bad Bunny;2260196;2020-12-01;;2020;12;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
25;Underneath the Tree;Kelly Clarkson;2211734;2020-12-01;;2020;12;1;6;dance pop;post-teen pop;pop;talent show;neo mellow;pop rock;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
26;you broke me first;Tate McRae;2167065;2020-12-01;;2020;12;1;5;pop;alt z;post-teen pop;electropop;dance pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
27;For The Night (feat. Lil Baby & DaBaby);Pop Smoke;2115497;2020-12-01;;2020;12;1;1;brooklyn drill;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
28;WAP (feat. Megan Thee Stallion);Cardi B;2102025;2020-12-01;;2020;12;1;4;pop rap;pop;rap;dance pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
29;Watermelon Sugar;Harry Styles;2101359;2020-12-01;;2020;12;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
30;Hawái;Maluma;2080090;2020-12-01;;2020;12;1;3;reggaeton colombiano;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
31;HACIENDO QUE ME AMAS;Bad Bunny;2048116;2020-12-01;;2020;12;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
32;HOLIDAY;Lil Nas X;2036972;2020-12-01;;2020;12;1;2;lgbtq+ hip hop;pop rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
33;Mistletoe;Justin Bieber;1962188;2020-12-01;;2020;12;1;3;canadian pop;post-teen pop;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
34;Head & Heart (feat. MNEK);Joel Corry;1950019;2020-12-01;;2020;12;1;5;uk dance;pop dance;tropical house;dance pop;edm;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
