Position;Songtitel;Künstler;Streams;Datum;Genre;Jahr;Monat;Tag;Anzahl der Genre;Genre 1;Genre 2;Genre 3;Genre 4;Genre 5;Genre 6;Genre 7;Genre 8;Genre 9;Genre 10;Classical;Country;Dance Music, Techno and House;Downtempo and Ambient;Folk;Heavy Metal;Industrial and Gothic;Jazz;Latin American music;Lo-Fi;Pop;R&B;Rap and Hip-Hop;Reggae;Rock;Utility;World
1;DÁKITI;Bad Bunny;5065542;2021-01-01;;2021;1;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2;Blinding Lights;The Weeknd;3764813;2021-01-01;;2021;1;1;3;canadian pop;canadian contemporary r&b;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
3;BICHOTA;KAROL G;3560869;2021-01-01;;2021;1;1;4;reggaeton colombiano;trap latino;reggaeton;latin;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
4;Mood (feat. iann dior);24kGoldn;3402064;2021-01-01;;2021;1;1;1;cali rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
5;positions;Ariana Grande;2939820;2021-01-01;;2021;1;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6;34+35;Ariana Grande;2470575;2021-01-01;;2021;1;1;3;pop;post-teen pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2448371;2021-01-01;;2021;1;1;3;trap;rap;pop rap;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
8;LA NOCHE DE ANOCHE;Bad Bunny;2441850;2021-01-01;;2021;1;1;3;trap latino;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
9;Dynamite;BTS;2372884;2021-01-01;;2021;1;1;2;k-pop boy group;k-pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10;Hawái;Maluma;2305984;2021-01-01;;2021;1;1;3;reggaeton colombiano;reggaeton;latin;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
11;Levitating (feat. DaBaby);Dua Lipa;2224633;2021-01-01;;2021;1;1;3;uk pop;pop;dance pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12;Watermelon Sugar;Harry Styles;2199194;2021-01-01;;2021;1;1;2;pop;post-teen pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13;Roses - Imanbek Remix;SAINt JHN;2149916;2021-01-01;;2021;1;1;4;melodic rap;slap house;rap;pop rap;;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
14;Whoopty;CJ;2131988;2021-01-01;;2021;1;1;1;nyc rap;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
15;Anyone;Justin Bieber;2095920;2021-01-01;;2021;1;1;3;canadian pop;post-teen pop;pop;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
16;WAP (feat. Megan Thee Stallion);Cardi B;2071860;2021-01-01;;2021;1;1;4;pop rap;pop;rap;dance pop;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
17;Dance Monkey;Tones And I;2067874;2021-01-01;;2021;1;1;2;australian pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
18;Therefore I Am;Billie Eilish;2005643;2021-01-01;;2021;1;1;2;pop;electropop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19;WITHOUT YOU;The Kid LAROI;1988730;2021-01-01;;2021;1;1;1;australian hip hop;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
20;What You Know Bout Love;Pop Smoke;1929832;2021-01-01;;2021;1;1;1;brooklyn drill;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
21;HOLIDAY;Lil Nas X;1823908;2021-01-01;;2021;1;1;2;lgbtq+ hip hop;pop rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
22;ROCKSTAR (feat. Roddy Ricch);DaBaby;1748248;2021-01-01;;2021;1;1;2;north carolina hip hop;rap;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
23;Head & Heart (feat. MNEK);Joel Corry;1727979;2021-01-01;;2021;1;1;5;uk dance;pop dance;tropical house;dance pop;edm;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
24;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;1725649;2021-01-01;;2021;1;1;5;pop;canadian pop;viral pop;post-teen pop;dance pop;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
25;Reloj;Rauw Alejandro;1712947;2021-01-01;;2021;1;1;2;puerto rican pop;trap latino;;;;;;;;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
26;Afterglow;Ed Sheeran;1701822;2021-01-01;;2021;1;1;2;uk pop;pop;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
