genres;main_genre;;;
pop;Pop;;;
dance pop;Pop;;;
rap;Rap and Hip-Hop;;;
rock;Rock;;;
latin;Latin American music;;;
pop rap;Pop;;;
hip hop;Rap and Hip-Hop;;;
trap latino;Latin American music;;;
trap;Rap and Hip-Hop;;;
modern rock;Rock;;;
edm;Dance Music, Techno and House;;;
post-teen pop;Pop;;;
reggaeton;Latin American music;;;
pop dance;Dance Music, Techno and House;;;
latin pop;Pop;;;
classic rock;Rock;;;
electropop;Pop;;;
pop rock;Rock;;;
tropical house;Dance Music, Techno and House;;;
mellow gold;Rock;;;
r&b;R&B;;;
regional mexican;Utility;;;
uk pop;Pop;;;
soft rock;Rock;;;
permanent wave;Rock;;;
album rock;Rock;;;
alternative metal;Heavy Metal;;;
k-pop;Pop;;;
southern hip hop;Rap and Hip-Hop;;;
indie pop;Pop;;;
melodic rap;Rap and Hip-Hop;;;
canadian pop;Pop;;;
electro house;Dance Music, Techno and House;;;
contemporary country;Country;;;
urban contemporary;Pop;;;
alternative rock;Rock;;;
alt z;Pop;;;
nuevo regional mexicano;Utility;;;
hard rock;Rock;;;
country;Country;;;
nu metal;Heavy Metal;;;
art pop;Pop;;;
adult standards;Not_assignable;;;
rock en espanol;Rock;;;
tropical;Latin American music;;;
latin hip hop;Rap and Hip-Hop;;;
neo mellow;Pop;;;
gangster rap;Rap and Hip-Hop;;;
ranchera;Utility;;;
underground hip hop;Rap and Hip-Hop;;;
modern alternative rock;Rock;;;
atl hip hop;Rap and Hip-Hop;;;
desi pop;Pop;;;
french hip hop;Rap and Hip-Hop;;;
new wave pop;Pop;;;
folk rock;Rock;;;
country road;Country;;;
german hip hop;Rap and Hip-Hop;;;
pop urbaine;Pop;;;
art rock;Rock;;;
latin alternative;Latin American music;;;
chicago rap;Rap and Hip-Hop;;;
soul;R&B;;;
country rock;Rock;;;
latin rock;Rock;;;
alternative r&b;R&B;;;
europop;Pop;;;
mexican pop;Pop;;;
corrido;Utility;;;
k-pop boy group;Pop;;;
funk carioca;R&B;;;
sertanejo;Latin American music;;;
j-pop;Pop;;;
hip pop;Pop;;;
norteno;Latin American music;;;
sertanejo universitario;Latin American music;;;
house;Dance Music, Techno and House;;;
filmi;Utility;;;
indie poptimism;Latin American music;;;
reggaeton colombiano;Latin American music;;;
stomp and holler;Pop;;;
latin arena pop;Pop;;;
sertanejo pop;Pop;;;
viral pop;Pop;;;
british soul;R&B;;;
neo soul;R&B;;;
metal;Heavy Metal;;;
modern bollywood;Utility;;;
new wave;Rock;;;
canadian hip hop;Rap and Hip-Hop;;;
reggaeton flow;Latin American music;;;
post-grunge;Rock;;;
indie rock;Rock;;;
indie folk;Folk;;;
indie soul;R&B;;;
disco;Pop;;;
spanish pop;Pop;;;
francoton;Pop;;;
emo rap;Rap and Hip-Hop;;;
colombian pop;Pop;;;
pop punk;Rock;;;
sierreno;Latin American music;;;
pop soul;R&B;;;
blues rock;Rock;;;
quiet storm;R&B;;;
pop edm;Dance Music, Techno and House;;;
slap house;Dance Music, Techno and House;;;
toronto rap;Rap and Hip-Hop;;;
singer-songwriter;Not_assignable;;;
indietronica;Dance Music, Techno and House;;;
psychedelic rock;Rock;;;
conscious hip hop;Rap and Hip-Hop;;;
vapor trap;Rap and Hip-Hop;;;
